rank,name,profile,uid,changesets,map_changes,countries,editors,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
27,shashish,https://www.openstreetmap.org/user/shashish,236945,8,433,Nepal,iD 2.21.1,375,1,0,53,4,0,0,0,0,0,0,51.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,"{""building"": 51, ""highway"": 2, ""bridge"": 1, ""layer"": 1}","{""highway"": 4, ""source"": 2, ""ref"": 1}","#hotosm-project-14987,#kll,#mappingtheunmapped,#mapforcause,#osmnepal",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
28,NABIN07,https://www.openstreetmap.org/user/NABIN07,19937751,13,417,Nepal,"iD 2.26.2,iD 2.21.1",310,19,0,69,17,0,2,0,0,2,0,58.0,5.0,9.0,10.0,0.0,0.0,0.0,1.0,"{""building"": 58, ""highway"": 9, ""landuse"": 3, ""type"": 2, ""ford"": 1, ""crossing"": 1, ""bridge"": 1, ""layer"": 1}","{""highway"": 10, ""source"": 7, ""building"": 5, ""galli"": 3, ""name"": 3, ""amenity"": 1, ""building_count"": 1, ""isced:level"": 1, ""operator:type"": 1, ""personnel:count"": 1, ""student:count"": 1}","#hotosm-project-14901,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#Agrimappers",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
29,Rabina Poudyal,https://www.openstreetmap.org/user/Rabina%20Poudyal,13031156,3,417,Nepal,JOSM/1.5 (18772 en),344,5,0,66,2,0,0,0,0,0,0,60.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,"{""building"": 60, ""highway"": 3, ""natural"": 2}","{""landuse"": 1, ""highway"": 1}","#hotosm-project-13149,#KLL,#MapGive,#mappingtheunmapped,#mapforcause,#osmnepal",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
30,Fadlilaa IRM-RV,https://www.openstreetmap.org/user/Fadlilaa%20IRM-RV,8650974,3,415,Nepal,JOSM/1.5 (18746 en),21,365,0,2,27,0,0,0,0,0,1,0.0,9.0,2.0,17.0,0.0,0.0,0.0,0.0,"{""highway"": 2, ""bridge"": 1, ""layer"": 1}","{""highway"": 17, ""building"": 9, ""ref"": 2, ""ref:old"": 2, ""fixme"": 1, ""name"": 1, ""landuse"": 1}","#FullValidation,#Nepal",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
31,AasthaJha,https://www.openstreetmap.org/user/AasthaJha,19937200,5,406,Nepal,iD 2.21.1,322,16,0,63,5,0,0,0,0,0,0,48.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,"{""building"": 48, ""landuse"": 14, ""highway"": 1}","{""highway"": 4, ""description"": 1, ""landuse"": 1, ""name"": 1, ""residential"": 1, ""maxspeed"": 1, ""surface"": 1}","#hotosm-project-14901,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#Agrimappers",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
32,RajendraAcharya,https://www.openstreetmap.org/user/RajendraAcharya,19937114,4,391,Nepal,iD 2.21.1,341,6,0,37,7,0,0,0,0,0,0,25.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,"{""building"": 25, ""name"": 13, ""landuse"": 7, ""natural"": 3, ""highway"": 2, ""water"": 2}","{""highway"": 5, ""ref"": 2, ""waterway"": 1, ""building"": 1, ""name"": 1}","#hotosm-project-14901,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#Agrimappers",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
33,Manoj Thapa,https://www.openstreetmap.org/user/Manoj%20Thapa,781054,19,377,Nepal,"JOSM/1.5 (18746 en),iD 2.26.2",86,214,0,13,63,0,0,1,0,0,14,0.0,8.0,9.0,30.0,0.0,0.0,0.0,4.0,"{""highway"": 9, ""natural"": 3, ""water"": 3, ""name"": 2, ""leisure"": 1, ""sport"": 1}","{""name"": 47, ""highway"": 30, ""name:en"": 22, ""name:ne"": 21, ""natural"": 20, ""water"": 20, ""source"": 10, ""building"": 8, ""ref"": 5, ""landuse"": 5, ""place"": 4, ""junction"": 4, ""amenity"": 4, ""surface"": 3, ""addr:street"": 2, ""opening_hours"": 2, ""wikidata"": 2, ""alt_name"": 2, ""leisure"": 2, ""sport"": 2, ""height"": 2, ""tunnel"": 2, ""historic"": 1, ""email"": 1, ""phone"": 1, ""shop"": 1, ""website"": 1, ""fishing"": 1, ""salt"": 1, ""tidal"": 1, ""bridge"": 1, ""layer"": 1, ""name:ru"": 1, ""addr:city"": 1, ""lanes"": 1, ""maxspeed"": 1, ""crop"": 1, ""boat"": 1, ""type"": 1, ""wikipedia"": 1, ""religion"": 1, ""designation"": 1, ""name:new"": 1}",,2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
34,Aleksandar1994,https://www.openstreetmap.org/user/Aleksandar1994,3733993,18,373,"Nepal,India",JOSM/1.5 (18772 en),334,6,0,18,15,0,0,0,0,0,0,9.0,1.0,9.0,10.0,0.0,2.0,0.0,0.0,"{""highway"": 9, ""building"": 9, ""service"": 1}","{""highway"": 10, ""ref"": 3, ""ref:old"": 3, ""waterway"": 2, ""fixme"": 1, ""lanes"": 1, ""source"": 1, ""surface"": 1, ""name"": 1, ""natural"": 1, ""landuse"": 1, ""building"": 1}","#MapBuilder,#MSFTOpenMaps",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
35,SakarBh,https://www.openstreetmap.org/user/SakarBh,19937423,4,363,Nepal,iD 2.21.1,313,5,0,39,5,0,0,1,0,0,0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,"{""landuse"": 15, ""natural"": 14, ""building"": 6, ""water"": 6, ""highway"": 2, ""barrier"": 1, ""addr:city"": 1, ""building:levels"": 1, ""name"": 1, ""crop"": 1, ""produce"": 1}","{""landuse"": 3, ""highway"": 2, ""name"": 1, ""natural"": 1, ""crop"": 1, ""leaf_type"": 1, ""produce"": 1, ""type"": 1}","#hotosm-project-14901,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#Agrimappers",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
36,Mukesh Thapa,https://www.openstreetmap.org/user/Mukesh%20Thapa,11674386,14,358,Nepal,JOSM/1.5 (17580 en),307,0,0,49,2,0,0,0,0,0,0,49.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"{""building"": 49}","{""highway"": 2, ""noname"": 1}",,2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
