rank,name,profile,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
21,Gaurav Parajuli,https://www.openstreetmap.org/user/Gaurav%20Parajuli,8316170,5,1533,"Nepal,India",1205,60,0,266,2,0,0,0,0,0,0,256,0,2,2,0,0,0,0,"{""building"": 256, ""natural"": 8, ""highway"": 2}","{""highway"": 2}","#hotosm-project-14015,#MappingRuralNepal,#bijaynagar,#OSMNepal,#YouthMappers,#OMHAP,#missingmaps,#digitalnepal,#mapbuds,#gaurav,#gesan,#osmnepal,#youthmappers",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
22,thpr,https://www.openstreetmap.org/user/thpr,4188910,16,1444,Nepal,516,772,0,81,75,0,0,0,0,0,0,62,42,19,30,0,0,0,0,"{""building"": 62, ""highway"": 19}","{""building"": 42, ""highway"": 30, ""layer"": 3, ""landuse"": 2, ""natural"": 1, ""water"": 1, ""surface"": 1}","#hotosm-project-8942,#KLL,#covid_19,#mappingtheunmapped,#mapforcause,#osmnepal,#covid19-nepal",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
23,Nolichucky,https://www.openstreetmap.org/user/Nolichucky,9090061,19,1423,Nepal,565,689,0,85,84,0,0,0,0,0,1,0,15,85,69,0,0,0,0,"{""highway"": 85, ""source"": 3, ""cutting"": 2, ""description"": 2, ""name"": 2, ""covered"": 1}","{""highway"": 69, ""building"": 15, ""name"": 7, ""surface"": 6, ""source"": 6, ""ref"": 4, ""ref:old"": 3, ""service"": 2, ""incline"": 1, ""width"": 1, ""lanes"": 1, ""name:en"": 1, ""name:ne"": 1, ""int_ref"": 1, ""cutting"": 1, ""description"": 1}",#adt,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
24,puskarpaudel,https://www.openstreetmap.org/user/puskarpaudel,15651714,16,1322,Nepal,934,128,27,198,31,4,0,0,0,0,0,193,2,5,25,0,0,0,0,"{""building"": 193, ""highway"": 5}","{""highway"": 25, ""landuse"": 4, ""building"": 2}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
25,frozenrabi,https://www.openstreetmap.org/user/frozenrabi,10459757,21,1234,Nepal,740,329,0,132,33,0,0,0,0,9,0,114,24,2,2,6,3,3,1,"{""building"": 114, ""natural"": 10, ""water"": 9, ""name:en"": 8, ""waterway"": 6, ""shop"": 4, ""amenity"": 3, ""name"": 2, ""highway"": 2, ""addr:street"": 1, ""phone"": 1, ""office"": 1, ""operator"": 1, ""craft"": 1}","{""building"": 24, ""name"": 4, ""layer"": 3, ""waterway"": 3, ""landuse"": 2, ""highway"": 2, ""amenity"": 1, ""check_date"": 1, ""internet_access"": 1, ""internet_access:fee"": 1, ""boundary"": 1, ""river"": 1, ""natural"": 1, ""water"": 1}","#frozenrabi,#mapbuds,#missingmaps,#hotosm-project-14284,#youthmappers,#OMHAP,#digitalnepal,#osmnepal,#ges,#nepgeom23,#KU",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
26,AayushChand123,https://www.openstreetmap.org/user/AayushChand123,14357745,5,1068,Nepal,675,255,0,121,16,0,1,0,0,0,0,115,13,2,3,0,0,0,0,"{""building"": 115, ""natural"": 3, ""water"": 3, ""highway"": 2, ""type"": 1}","{""building"": 13, ""highway"": 3, ""noname"": 2, ""lanes"": 1, ""name"": 1}","#hotosm-project-13991,#dmd,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#GESAN,#YouthMappers,#geoneer,#KLL,#YILAB,#naxa,#ThakuriMaps,#hotosm-project-14015,#MappingRuralNepal,#bijaynagar,#OSMNepal,#OMHAP,#hotosm-project-14267,#NepGeom,#pre_event,#GES,#SuPaMaps",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
27,AmritaPerth,https://www.openstreetmap.org/user/AmritaPerth,15403533,56,1046,"Nepal,India",394,540,0,100,12,0,0,0,0,0,0,100,6,0,2,0,0,0,0,"{""building"": 100}","{""building"": 6, ""landuse"": 4, ""highway"": 2}","#hotosm-project-7919,#MissingMaps,#Nepal,#NRCS,#redcross,#hotosm-project-8097",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
28,Rizky IRM-ED,https://www.openstreetmap.org/user/Rizky%20IRM-ED,9421521,2,1015,Nepal,409,604,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,{},"{""highway"": 2, ""ref"": 1}","#AtlasChecks,#SharpAngleCheck,#maproulette",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
29,samrat02,https://www.openstreetmap.org/user/samrat02,13255920,27,911,Nepal,24,887,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2,0,"{""natural"": 21, ""name"": 3, ""amenity"": 2, ""leisure"": 1}",{},"#hotosm-project-11694,#osmnepal,#hot,#omh_ap,#booster_grant_nepal_2021,#manang",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
30,Mukesh Thapa,https://www.openstreetmap.org/user/Mukesh%20Thapa,11674386,20,858,,677,18,0,162,1,0,0,0,0,0,0,162,0,0,0,0,0,0,0,"{""building"": 162}","{""landuse"": 1, ""source"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
31,Pragesh,https://www.openstreetmap.org/user/Pragesh,18508108,16,856,Nepal,682,15,2,154,3,0,0,0,0,0,0,154,2,0,1,0,0,0,0,"{""building"": 154}","{""building"": 2, ""highway"": 1, ""name"": 1}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
32,Talitha IRM-ED,https://www.openstreetmap.org/user/Talitha%20IRM-ED,9421520,3,714,Nepal,319,392,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,{},"{""highway"": 2, ""ref"": 1, ""natural"": 1}","#AtlasChecks,#InvalidGeometryCheck,#maproulette,#SharpAngleCheck",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
33,MalteGemmer,https://www.openstreetmap.org/user/MalteGemmer,18486084,8,698,Nepal,346,279,0,50,22,0,1,0,0,0,0,45,14,4,5,0,1,0,0,"{""building"": 45, ""highway"": 4, ""natural"": 1, ""type"": 1}","{""building"": 14, ""highway"": 5, ""ref"": 1, ""surface"": 1, ""tracktype"": 1, ""waterway"": 1, ""natural"": 1}","#hotosm-project-11726,#TayarNepal,#NepalYIL,#DRRFellowship2021,#Digital,#BIPAD",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
34,Umesh Marseni,https://www.openstreetmap.org/user/Umesh%20Marseni,18433882,3,624,Nepal,517,0,0,106,1,0,0,0,0,0,0,105,0,0,1,0,0,0,0,"{""building"": 105}","{""highway"": 1, ""ref"": 1}","#geoneer,#janashram",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
35,Anisa IRM-ED,https://www.openstreetmap.org/user/Anisa%20IRM-ED,8072049,7,616,Nepal,212,326,69,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,{},"{""landuse"": 4, ""natural"": 3, ""building"": 1}","#AtlasChecks,#InvalidGeometryCheck,#maproulette,#SharpAngleCheck",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
36,Nele Gemmer,https://www.openstreetmap.org/user/Nele%20Gemmer,18486092,4,600,Nepal,437,105,0,51,7,0,0,0,0,0,0,37,2,2,3,0,0,0,0,"{""building"": 37, ""landuse"": 6, ""natural"": 6, ""highway"": 2}","{""highway"": 3, ""ref"": 2, ""building"": 2, ""landuse"": 1}","#hotosm-project-11726,#TayarNepal,#NepalYIL,#DRRFellowship2021,#Digital,#BIPAD",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
37,Diana IRM-ED,https://www.openstreetmap.org/user/Diana%20IRM-ED,8072061,3,581,Nepal,375,202,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,{},"{""highway"": 3, ""ref"": 1, ""source"": 1, ""landuse"": 1}","#AtlasChecks,#SharpAngleCheck,#maproulette,#InvalidGeometryCheck",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
38,Celestina Neupane,https://www.openstreetmap.org/user/Celestina%20Neupane,18459630,11,563,Nepal,440,17,5,98,3,0,0,0,0,0,0,98,1,0,1,0,0,0,1,"{""building"": 98}","{""highway"": 1, ""building"": 1, ""amenity"": 1, ""name"": 1}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
39,Sumit Kumar Sah,https://www.openstreetmap.org/user/Sumit%20Kumar%20Sah,17981547,2,551,Nepal,177,326,0,21,27,0,0,0,0,0,0,21,24,0,3,0,0,0,0,"{""building"": 21}","{""building"": 24, ""highway"": 3, ""tracktype"": 1}","#hotosm-project-11726,#TayarNepal,#NepalYIL,#DRRFellowship2021,#Digital,#BIPAD",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
40,Namrata  Shrestha,https://www.openstreetmap.org/user/Namrata%20%20Shrestha,13116044,12,489,Nepal,343,0,46,88,0,12,0,0,0,0,0,88,0,0,0,0,0,0,0,"{""building"": 88}",{},"#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
41,Ayu Sah,https://www.openstreetmap.org/user/Ayu%20Sah,15652138,17,472,Nepal,264,147,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,"{""building"": 61}",{},"#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
42,Irma IRM-ED,https://www.openstreetmap.org/user/Irma%20IRM-ED,13065690,4,467,Nepal,165,295,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,{},"{""highway"": 5, ""natural"": 2, ""name"": 1, ""name:ne"": 1, ""ref"": 1, ""ref:old"": 1}","#AtlasChecks,#ConnectivityCheck,#maproulette,#InvalidGeometryCheck,#SharpAngleCheck",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
