rank,name,uid,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,building.create,building.modify,building.delete,highway.create,highway.modify,highway.delete,waterway.create,waterway.modify,waterway.delete,amenity.create,amenity.modify,amenity.delete,landuse.create,landuse.modify,landuse.delete,natural.create,natural.modify,natural.delete
70,RaphaelPasloin,7421884,730,113752,85868,9227,0,17197,1411,0,8,41,0,16605,731,0,359,405,0,0,4,0,16,30,0,203,39,0,84,8,0
71,user_535043,535043,68,112638,110162,1344,0,686,439,0,0,7,0,0,0,0,674,392,0,0,18,0,5,5,0,1,1,0,9,2,0
72,rimblo,570753,28,111287,79762,30947,0,439,130,0,7,2,0,0,0,0,120,22,0,3,3,0,0,0,0,0,0,0,290,24,0
73,Sander H,327477,124,110536,40174,54755,0,6146,9450,0,4,7,0,5724,7662,0,132,255,0,0,0,0,2,20,0,259,27,0,1,4,0
74,Palolo,385046,489,110523,85435,15037,0,6517,3529,0,2,3,0,2789,211,0,3553,2882,0,16,31,0,48,69,0,14,31,0,37,26,0
75,Vivek Dumre,13116824,984,110339,32093,70719,0,4752,2773,0,2,0,0,4555,1677,0,148,551,0,0,18,0,0,2,0,7,27,0,41,3,0
76,popball-import,17792450,30,109528,6238,353,0,31,102903,0,0,3,0,3,102786,0,6,65,0,0,0,0,0,341,0,0,13,0,0,0,0
77,OBB CBS,17697356,1078,108191,101205,5266,0,433,1252,0,3,32,0,24,28,0,137,1144,0,0,0,0,15,33,0,1,0,0,0,0,0
78,DressyPear4,3984659,251,108185,80362,14702,0,5939,7138,0,23,21,0,24,532,0,2237,878,0,3154,156,0,31,15,0,32,29,0,21,66,0
79,Waldhüter,12388248,599,107392,90174,6299,0,9183,1559,0,155,22,0,5706,30,0,1213,743,0,69,49,0,8,7,0,200,31,0,976,142,0
80,beddy,3207726,603,106556,88379,511,0,13692,3974,0,0,0,0,13676,2852,0,31,1054,0,0,0,0,14,161,0,0,0,0,0,0,0
81,VARVAR8,3850484,91,106179,72057,13508,0,15889,2585,0,1979,161,0,5581,643,0,134,808,0,9,0,0,39,35,0,161,69,0,15,17,0
82,torapa,5446055,261,104016,76196,11305,0,13121,3291,0,3,100,0,9466,304,0,276,2452,0,27,48,0,17,254,0,6,125,0,99,130,0
83,jpgon,1840640,178,103248,94916,5922,0,1996,413,0,0,1,0,1555,22,0,126,211,0,43,81,0,0,0,0,9,17,0,287,68,0
84,Shrestha Shristi,13253207,162,102411,83266,149,0,18987,9,0,0,0,0,18976,1,0,6,7,0,5,1,0,0,0,0,0,0,0,0,0,0
85,Lalit_IAAS,11589667,736,100889,64366,23533,0,11601,1363,0,4,22,0,11294,317,0,282,538,0,15,27,0,1,33,0,0,19,0,4,5,0
86,jslawin,8477764,1833,100861,76963,9789,0,12104,1982,0,8,15,0,11138,634,0,115,574,0,137,42,0,2,9,0,465,317,0,245,155,0
87,marek kleciak,338611,243,98727,87365,8455,0,2006,892,0,3,6,0,389,55,0,34,109,0,0,3,0,0,5,0,452,99,0,975,235,0
88,maferikotupi,2115804,546,97865,53142,30447,0,8932,4785,0,48,511,0,7036,176,0,1977,1796,0,19,20,0,184,23,0,88,195,0,3,9,0
89,zluuzki,12785610,94,97384,58998,27418,0,2877,8030,0,16,45,0,458,702,0,307,2155,0,8,5,0,5,14,0,322,854,0,8,83,0
90,dvlpmnt,10176186,366,97146,54227,24883,0,12062,5780,0,74,120,0,32,0,0,12004,5224,0,0,6,0,0,0,0,0,3,0,0,1,0
