rank,name,profile,uid,changesets,map_changes,countries,editors,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
21,nirajanrajkarnikar,https://www.openstreetmap.org/user/nirajanrajkarnikar,1073941,7,650,Nepal,iD 2.21.1,2176,563,1,0,80,6,0,0,0,0,0,0,1.0,0.0,78.0,6.0,1.0,0.0,0.0,0.0,"{""highway"": 78, ""building"": 1, ""waterway"": 1}","{""highway"": 6, ""surface"": 2, ""name"": 1, ""source"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruAayush,#GuruDibikshya,#iTechKarnali,#hotosm-project-15639,#gurudibikshya,#guruaayush,#hotosm-project-15638",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
22,Shafira fath,https://www.openstreetmap.org/user/Shafira%20fath,19852789,19,504,Nepal,"JOSM/1.5 (18772 en),iD 2.21.1",15899,447,3,6,35,13,0,0,0,0,0,0,0.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,"{""highway"": 35, ""name"": 1}","{""natural"": 9, ""highway"": 4, ""surface"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruArun,#GuruRabina,#GuruSamrat",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
23,Namrata  Shrestha,https://www.openstreetmap.org/user/Namrata%20%20Shrestha,13116044,6,485,Nepal,JOSM/1.5 (18646 en),29121,439,0,1,39,6,0,0,0,0,0,0,0.0,0.0,39.0,0.0,0.0,1.0,0.0,0.0,"{""highway"": 39}","{""admin_level"": 3, ""boundary"": 3, ""natural"": 2, ""waterway"": 1}","#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruArun,#GuruRabina,#GuruSamrat,#hotosm-project-15639",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
24,NimsKhau,https://www.openstreetmap.org/user/NimsKhau,20568439,7,482,Nepal,"iD 2.21.1,JOSM/1.5 (18822 en)",1903,447,13,0,12,10,0,0,0,0,0,0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,"{""highway"": 11}","{""highway"": 7, ""surface"": 2, ""admin_level"": 2, ""boundary"": 2, ""name"": 1, ""source"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#itechKarnali,#GuruAayush,#GuruDibikshya,#hotosm-project-15638,#Guruaayush,#Gurudibikshya,#itechkarnali,#hotosm-project-15639",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
25,Prayon Joshi,https://www.openstreetmap.org/user/Prayon%20Joshi,19388749,6,469,Nepal,JOSM/1.5 (18822 en),2328,436,4,0,16,13,0,0,0,0,0,0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,"{""highway"": 9, ""route"": 5}","{""highway"": 8, ""admin_level"": 3, ""boundary"": 3, ""name"": 2, ""ref"": 2, ""natural"": 2, ""name:ne"": 1, ""ref:old"": 1, ""source"": 1, ""surface"": 1}","#hotosm-project-15639,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruShristi",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
26,Ashok Thakulla,https://www.openstreetmap.org/user/Ashok%20Thakulla,10963925,10,409,Nepal,JOSM/1.5 (18772 en),2228,245,151,0,9,4,0,0,0,0,0,1,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,"{""highway"": 9}","{""highway"": 2, ""natural"": 1, ""landuse"": 1, ""ford"": 1}","#hotosm-project-15638,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#gurushristi,#hotosm-project-15639,#youthmapper,#Rebmad",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
27,Bigyan Sapkota,https://www.openstreetmap.org/user/Bigyan%20Sapkota,20577679,12,398,Nepal,JOSM/1.5 (18822 en),0,304,22,0,72,0,0,0,0,0,0,0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 72}",{},"#hotosm-project-15639,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#APHub,#GuruShristi,#GuruPragya,#SCS2023,#bosc",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
28,Pradip Subedi,https://www.openstreetmap.org/user/Pradip%20Subedi,19473195,34,350,Nepal,"JOSM/1.5 (18822 en),iD 2.21.1",3558,233,74,1,31,11,0,0,0,0,9,1,20.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,"{""building"": 20, ""natural"": 14, ""highway"": 6}","{""highway"": 5, ""landuse"": 4, ""natural"": 2, ""name"": 2, ""ref"": 1}","#hotosm-project-15638,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#APHub,#GuruShristi,#GuruPragya,#SCS2023,#BOSC,#hotosm-project-15639,#Startnetwork_Nepal",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
29,ASK822,https://www.openstreetmap.org/user/ASK822,20570509,4,350,Nepal,iD 2.21.1,3163,338,0,0,7,5,0,0,0,0,1,0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,"{""highway"": 8}","{""highway"": 4, ""building"": 1}","#hotosm-project-15639,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#hotosm-project-15638",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
30,Heritagegamer,https://www.openstreetmap.org/user/Heritagegamer,20570452,6,321,Nepal,iD 2.21.1,1129,310,2,0,5,4,0,0,0,0,1,0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,"{""highway"": 3, ""natural"": 3}","{""highway"": 2, ""waterway"": 1, ""natural"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruAayush,#GuruDibikshya,#itech",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
