rank,name,profile,uid,changesets,map_changes,countries,editors,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
45,swise,https://www.openstreetmap.org/user/swise,817699,11,999,"Syrian Arab Republic,Turkey",JOSM/1.5 (17833 en_GB),0,594,275,0,118,12,0,0,0,0,0,0,118.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,"{""building"": 118}","{""building"": 7, ""highway"": 4, ""source"": 2, ""name"": 1, ""ref"": 1, ""landuse"": 1}","#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
46,niallgandy,https://www.openstreetmap.org/user/niallgandy,16446763,8,989,Syrian Arab Republic,iD 2.21.1,2030,810,2,0,170,7,0,0,0,0,0,0,152.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,"{""building"": 152, ""highway"": 18, ""source"": 2, ""bridge"": 1, ""layer"": 1}","{""highway"": 6, ""source"": 5, ""landuse"": 1}","#hotosm-project-14311,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
47,piligab,https://www.openstreetmap.org/user/piligab,3877019,5,984,Turkey,JOSM/1.5 (18664 en),0,223,651,0,53,57,0,0,0,0,0,0,52.0,49.0,1.0,7.0,0.0,0.0,0.0,0.0,"{""building"": 52, ""highway"": 1}","{""building"": 49, ""highway"": 7, ""source"": 4, ""admin_level"": 1, ""boundary"": 1}","#hotosm-project-14226,#helpngo,#awsmapathon,#TürkiyeEQ060223,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
48,Triyanuartha,https://www.openstreetmap.org/user/Triyanuartha,17074782,7,951,Syrian Arab Republic,iD 2.21.1,0,790,0,0,161,0,0,0,0,0,0,0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 161}",{},"#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#SMforST2023",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
49,Vyshak,https://www.openstreetmap.org/user/Vyshak,17571793,6,911,Syrian Arab Republic,iD 2.21.1,3183,768,0,0,138,5,0,0,0,0,0,0,127.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,"{""building"": 127, ""highway"": 11}","{""highway"": 2, ""source"": 1, ""landuse"": 1, ""railway"": 1, ""admin_level"": 1, ""boundary"": 1}","#hotosm-project-14311,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
50,Patrik_B,https://www.openstreetmap.org/user/Patrik_B,10478691,9,906,"Syrian Arab Republic,Turkey",JOSM/1.5 (18678 en_GB),261,476,297,0,116,17,0,0,0,0,0,0,112.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,"{""building"": 112, ""highway"": 4, ""source"": 1}","{""highway"": 13, ""building"": 4, ""source"": 3, ""noname"": 2}","#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
51,onesimusGGA,https://www.openstreetmap.org/user/onesimusGGA,13063544,1,888,Turkey,JOSM/1.5 (18531 en),0,386,406,0,48,48,0,0,0,0,0,0,47.0,43.0,1.0,5.0,0.0,0.0,0.0,0.0,"{""building"": 47, ""highway"": 1}","{""building"": 43, ""source"": 26, ""highway"": 5, ""surface"": 1}","#hotosm-project-14262,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey,#youthmappersfuta",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
52,NoKnow,https://www.openstreetmap.org/user/NoKnow,6522157,5,880,Turkey,RapiD 1.1.9-tm.1,823,301,511,0,43,25,0,0,0,0,0,0,39.0,12.0,4.0,12.0,0.0,0.0,0.0,0.0,"{""building"": 39, ""source"": 11, ""highway"": 4}","{""source"": 15, ""highway"": 12, ""building"": 12, ""ref"": 1, ""landuse"": 1}","#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
53,Sarojpokhrel,https://www.openstreetmap.org/user/Sarojpokhrel,10934301,2,851,Turkey,JOSM/1.5 (18463 en),451,702,0,0,149,0,0,0,0,0,0,0,147.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 147, ""highway"": 2}",{},"#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey,#osmnepal,#SMforST2023",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
54,Hamza Aya,https://www.openstreetmap.org/user/Hamza%20Aya,16976000,1,813,Turkey,JOSM/1.5 (18646 fr),0,716,21,0,70,6,0,0,0,0,0,0,68.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,"{""building"": 68, ""natural"": 2}","{""highway"": 4, ""building"": 2, ""name"": 1, ""source"": 1}","#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
